שם פרטי,"סך הכל בשנים
1948-2021",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
אבגיל,54,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,.,.,.,..,.,.,.,.,..,.,.,.,.,..,.,.,.,.,.,.,.,.,.,.,.,.,..,.,.,..,..,.,.,.,.,.,.,..,.,.,..,..,..,..,..,..,..,..,..,..,..,5,5,..,..,..,.,..,..
אביב,"4,421",.,.,.,.,..,.,..,.,.,..,..,..,..,..,..,..,5,8,..,7,7,6,6,..,..,7,7,7,12,9,10,11,15,6,14,21,9,24,25,34,32,36,46,58,74,95,84,85,85,101,112,114,119,104,102,125,130,114,99,127,126,111,108,121,150,125,171,183,179,172,196,230,204,226
אביבה,"5,401",44,76,113,159,158,168,174,176,186,198,184,205,180,197,162,161,166,147,135,113,133,113,84,74,66,55,54,50,38,35,29,33,28,27,25,25,24,29,24,29,19,16,16,28,41,42,27,24,23,19,22,23,13,17,17,14,13,9,9,11,12,17,13,6,12,9,5,7,10,8,10,16,17,17
אביבית,"1,979",.,..,.,..,6,..,..,6,6,7,9,10,11,13,14,6,13,20,18,25,26,35,41,43,52,47,48,141,154,113,100,88,81,76,79,69,76,58,69,60,42,50,31,27,23,21,20,12,23,14,12,11,9,8,7,..,5,..,..,..,..,..,.,..,..,..,..,..,.,.,..,..,..,..
אביגיל,"19,873",14,16,20,23,26,29,33,37,38,44,54,42,75,51,51,46,63,58,60,52,60,66,60,54,50,50,64,44,48,57,50,55,67,73,80,71,74,63,62,85,88,88,100,112,88,108,112,132,119,142,188,177,196,221,239,280,314,358,347,438,506,621,668,797,827,927,"1,098","1,207","1,202","1,274","1,276","1,180","1,135","1,088"
אביגל,193,.,.,.,.,.,.,.,.,.,..,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,..,5,5,5,..,5,..,7,..,..,..,..,..,..,..,5,..,..,..,5,..,..,..,..,6,..,5,..,..,..,..,6,9,5,..,..,..,..,..,6,.,..,.
אביה,"6,497",..,..,..,..,..,..,..,..,5,..,..,7,6,6,6,6,8,8,..,..,5,..,11,..,9,9,7,10,11,5,15,10,13,22,21,30,33,34,46,53,61,89,105,108,158,138,139,182,186,186,195,171,183,183,209,174,182,160,171,198,174,183,181,203,224,181,197,229,239,228,226,223,160,204
אביטל,"9,031",11,8,15,18,21,18,16,21,19,42,26,35,55,49,52,48,64,61,64,80,77,69,89,105,87,76,87,104,121,127,154,148,167,149,141,159,144,157,179,174,170,146,126,142,142,173,161,139,151,171,163,172,173,146,153,133,161,161,189,167,173,157,153,175,197,189,183,180,199,197,203,216,177,204
אבישג,"6,723",..,..,..,..,.,..,..,..,7,..,..,..,5,..,8,5,7,6,8,10,13,16,15,23,15,14,23,16,44,24,46,51,39,36,49,49,49,43,53,53,46,58,62,57,62,56,52,55,63,80,98,108,103,131,140,168,163,149,144,156,180,175,235,194,220,224,305,361,318,370,362,362,354,340
אבלין,304,.,..,.,..,..,..,..,..,..,7,6,6,..,..,..,5,12,15,16,6,6,5,6,..,5,6,..,7,..,..,..,..,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,5,7,8,5,7,..,..,9,..,5,11,7,6,..,5,..,..,..,..,5,..,.,.,.
